Time,Longitude  ,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,10.9398,50.9815,315.7728,0,0.0,0.0
1.0,10.939799999999991,50.9815,316.4326488056778,0,5.0,270.0
2.0,10.939799999999991,50.9815,317.65234846398425,0,5.0,0.0
3.0,10.939799999999991,50.9815,319.4319027372045,0,5.0,0.0
4.0,10.939799999999991,50.9815,321.7713171029663,0,5.0,0.0
5.0,10.939799999999991,50.9815,324.6705987542525,0,5.0,0.0
6.0,10.939799999999991,50.9815,328.12975659941765,0,5.0,0.0
7.0,10.939799999999991,50.9815,332.148801262208,0,5.0,0.0
8.0,10.939799999999991,50.9815,336.7277450817859,0,5.0,0.0
9.0,10.939799999999991,50.9815,341.8666021127578,0,5.0,0.0
10.0,10.939799999999991,50.9815,347.5653881252063,0,5.0,0.0
11.0,10.939799999999991,50.9815,353.8241206047261,0,5.0,0.0
12.0,10.939799999999991,50.9815,360.6428187524636,0,5.0,0.0
13.0,10.93983925788109,50.981496526437226,367.4152189338912,0,5.0,97.99999998464602
14.0,10.939888000776818,50.98149221363183,374.2413419197679,0,5.0,97.99999999733086
15.0,10.939946228684363,50.981487061583046,381.12120864470023,0,5.0,98.00000000524591
16.0,10.940013941600427,50.981481070290116,388.05484020720496,0,5.0,97.99999998675793
17.0,10.940091139521172,50.981474239752245,395.0422578697719,0,5.0,98.00000000127875
18.0,10.940177822442308,50.98146656996868,402.0834830589276,0,5.0,97.99999999681859
19.0,10.940273990358946,50.98145806093865,409.1785373652994,0,5.0,98.00000000048408
20.0,10.940379643265743,50.981448712661376,416.3274425436799,0,5.0,97.99999999489046
21.0,10.940494781156815,50.98143852513609,423.53022051309205,0,5.0,97.99999999388422
22.0,10.940619404025739,50.98142749836203,430.7868933568544,0,5.0,98.00000000284348
23.0,10.940782331877472,50.981413082288135,437.9799321300599,0,-5.0,98.00000000127426
24.0,10.94097025491115,50.98139645458116,445.10935888230557,0,-5.0,98.00000000066859
25.0,10.941183173098807,50.98137761523576,452.1751954664212,0,-5.0,98.0000000012605
26.0,10.941421086408866,50.9813565642466,459.17746353853835,0,-5.0,97.99999999796722
27.0,10.941683994806198,50.98133330160833,466.1161845581586,0,-5.0,98.00000000427349
28.0,10.94197189825212,50.98130782731563,472.9913797882212,0,-5.0,97.99999999837485
29.0,10.942284796704342,50.981280141363165,479.80307029517036,0,-5.0,97.99999999965684
30.0,10.942622690117048,50.98125024374557,486.5512769490213,0,-5.0,97.99999999948994
