Time,Longitude  ,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,10.9398,50.9815,315.7728,0,0.0,0.0
1.0,10.939799999999991,50.9815,316.4326488056778,0,5.0,270.0
2.0,10.939799999999991,50.9815,317.65234846398425,0,5.0,0.0
3.0,10.939799999999991,50.9815,319.4319027372045,0,5.0,0.0
4.0,10.939799999999991,50.9815,321.7713171029663,0,5.0,0.0
5.0,10.939799999999991,50.9815,324.6705987542525,0,5.0,0.0
6.0,10.939799999999991,50.9815,328.12975659941765,0,5.0,0.0
7.0,10.939799999999991,50.9815,332.148801262208,0,5.0,0.0
8.0,10.939799999999991,50.9815,336.7277450817859,0,5.0,0.0
9.0,10.939799999999991,50.9815,341.8666021127578,0,5.0,0.0
10.0,10.939799999999991,50.9815,347.5653881252063,0,5.0,0.0
11.0,10.939799999999991,50.9815,353.8241206047261,0,5.0,0.0
12.0,10.939799999999991,50.9815,360.6428187524636,0,5.0,0.0
13.0,10.939799999999991,50.9815,368.0215034851608,0,5.0,0.0
14.0,10.939799999999991,50.9815,375.9601974352028,0,5.0,0.0
15.0,10.939799999999991,50.9815,384.4589249506695,0,5.0,0.0
16.0,10.939799999999991,50.9815,393.5177120953906,0,5.0,0.0
17.0,10.939799999999991,50.9815,403.1365866490055,0,5.0,0.0
18.0,10.939851484446422,50.981495444619995,412.7092935495821,0,5.0,98.00000000508157
19.0,10.939912453904782,50.98149004999639,422.3358621461037,0,5.0,97.99999998767555
20.0,10.939982908371633,50.981483816128396,432.01632195175694,0,5.0,97.99999998296403
21.0,10.940062847843024,50.981476743015236,441.7507026440203,0,5.0,97.999999996383
22.0,10.940152272314492,50.981468830656155,451.5390340647527,0,5.0,97.99999999050027
23.0,10.940251181781008,50.98146007905036,461.38134622028264,0,5.0,98.00000000382715
24.0,10.940359576237057,50.98145048819709,471.27766928149805,0,5.0,98.00000000253453
25.0,10.940477455676614,50.98144005809559,481.2280335839362,0,5.0,97.99999999764822
26.0,10.940604820093142,50.981428788745085,491.23246962787454,0,5.0,97.99999999612055
27.0,10.940741669479564,50.9814166801448,501.2910080784216,0,5.0,98.00000000527075
28.0,10.940888003828348,50.98140373229396,511.40367976560896,0,5.0,97.99999999812957
29.0,10.941043823131366,50.9813899451918,521.570515684483,0,5.0,98.00000000218802
30.0,10.941209127380063,50.98137531883756,531.7915469951978,0,5.0,98.00000000092831
31.0,10.941383916565314,50.981359853230444,542.066805023108,0,5.0,98.0000000023557
