Time,Longitude  ,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,10.9398,50.9815,315.7728,0,0.0,0.0
1.0,10.939799999999991,50.9815,316.4326488056778,0,5.0,270.0
2.0,10.939799999999991,50.9815,317.65234846398425,0,5.0,0.0
3.0,10.939799999999991,50.9815,319.4319027372045,0,5.0,0.0
4.0,10.939799999999991,50.9815,321.7713171029663,0,5.0,0.0
5.0,10.939799999999991,50.9815,324.6705987542525,0,5.0,0.0
6.0,10.939799999999991,50.9815,328.12975659941765,0,5.0,0.0
7.0,10.939799999999991,50.9815,332.148801262208,0,5.0,0.0
8.0,10.939799999999991,50.9815,336.7277450817859,0,5.0,0.0
9.0,10.939799999999991,50.9815,341.8666021127578,0,5.0,0.0
10.0,10.939799999999991,50.9815,347.5653881252063,0,5.0,0.0
11.0,10.939799999999991,50.9815,353.8241206047261,0,5.0,0.0
12.0,10.939799999999991,50.9815,360.6428187524636,0,5.0,0.0
13.0,10.939799999999991,50.9815,368.0215034851608,0,5.0,0.0
14.0,10.939799999999991,50.9815,375.9601974352028,0,5.0,0.0
15.0,10.939799999999991,50.9815,384.4589249506695,0,5.0,0.0
16.0,10.939799999999991,50.9815,393.5177120953906,0,5.0,0.0
17.0,10.939799999999991,50.9815,403.1365866490055,0,5.0,0.0
18.0,10.939851484446422,50.981495444619995,412.7092935495821,0,5.0,98.00000000508157
19.0,10.93993346273453,50.98148819111166,422.2183109546629,0,-5.0,97.99999999278685
20.0,10.940040436290246,50.98147872598753,431.66366801548355,0,-5.0,98.00000000013677
21.0,10.9401724050972,50.98146704924227,441.0453936863076,0,-5.0,97.99999999836496
22.0,10.940329369135384,50.98145316087055,450.36351672451786,0,-5.0,98.0000000004431
23.0,10.940511328381234,50.981437060867016,459.61806569070694,0,-5.0,98.00000000401582
24.0,10.940718282807637,50.981418749226336,468.8090689487675,0,-5.0,98.00000000231898
25.0,10.940950232383898,50.98139822594318,477.93655466598153,0,-5.0,97.99999999987534
26.0,10.94120717707571,50.981375491012216,487.00055081310944,0,-5.0,97.99999999576244
27.0,10.941489116845219,50.98135054442808,496.001085164478,0,-5.0,97.99999999894516
28.0,10.94179605165101,50.98132338618544,504.93818529806816,0,-5.0,98.00000000260349
29.0,10.942127981448095,50.98129401627896,513.8118785956019,0,-5.0,97.99999999911893
30.0,10.942484906187929,50.981262434703304,522.6221922426287,0,-5.0,98.00000000062988
31.0,10.942866825818356,50.981228641453136,531.369153228611,0,-5.0,97.99999999957555
32.0,10.943273740283672,50.98119263652311,540.0527883470097,0,-5.0,97.99999999954412
33.0,10.943705649524617,50.98115441990789,548.6731241953685,0,-5.0,98.00000000063557
34.0,10.944162553478293,50.981113991602136,557.2301871753976,0,-5.0,98.00000000074033
35.0,10.944644452078307,50.98107135160052,565.7240034930575,0,-5.0,97.99999999929759
36.0,10.945132548284477,50.98102816316087,574.1545991586406,0,-5.0,97.99999999901684
37.0,10.94562064403658,50.98098497472123,582.52199998821,0,-5.0,97.99999999955764
38.0,10.946108739334676,50.98094178628158,590.8262316041277,0,-5.0,97.99999999977206
39.0,10.946596834178735,50.98089859784194,599.0673194351346,0,-5.0,97.99999999930458
40.0,10.947084928568756,50.9808554094023,607.2452887164316,0,-5.0,97.9999999994111
41.0,10.94757302250477,50.98081222096266,615.3601644897587,0,-5.0,97.99999999854253
42.0,10.948061115986746,50.980769032523014,623.4119716034742,0,-5.0,98.00000000161873
43.0,10.948549209014686,50.980725844083366,631.4007347126325,0,-5.0,98.0000000012239
44.0,10.949037301588618,50.980682655643726,639.3264782790623,0,-5.0,98.00000000154716
45.0,10.949525393708512,50.980639467204085,647.1892265714437,0,-5.0,98.00000000002558
46.0,10.950013485374399,50.980596278764445,654.9890036653844,0,-5.0,98.00000000035942
47.0,10.950501576586277,50.98055309032482,662.725833443496,0,-5.0,97.99999999901826
48.0,10.950989667344118,50.980509901885185,670.3997395954685,0,-5.0,98.00000000220336
49.0,10.95147775764795,50.98046671344555,678.0107456181462,0,-5.0,97.9999999997097
50.0,10.951965847497775,50.98042352500591,685.5588748156006,0,-5.0,98.00000000130495
51.0,10.952453936893562,50.98038033656629,693.0441502992043,0,-5.0,97.99999999872921
52.0,10.952942025835313,50.98033714812667,700.4665949877041,0,-5.0,97.99999999849774
53.0,10.953430114323083,50.98029395968705,707.8262316072928,0,-5.0,97.99999999910278
54.0,10.953918202356846,50.980250771247434,715.1230826916811,0,-5.0,97.99999999844448
55.0,10.9544062899366,50.980207582807815,722.3571705821686,0,-5.0,98.00000000013051
56.0,10.954894377062345,50.9801643943682,729.528517427714,0,-5.0,97.99999999892702
57.0,10.955382463734082,50.98012120592859,736.637145185005,0,-5.0,97.99999999951194
58.0,10.955870549951783,50.98007801748897,743.6830756185277,0,-5.0,97.99999999936364
59.0,10.956358635715475,50.98003482904936,750.6663303006351,0,-5.0,97.99999999995919
60.0,10.956846721025158,50.979991640609754,757.5869306116148,0,-5.0,97.99999999827247
61.0,10.957334805880862,50.97994845217014,764.4448977397568,0,-5.0,98.00000000074164
62.0,10.957822890282529,50.97990526373053,771.24025268142,0,-5.0,98.00000000013586
63.0,10.958310974230187,50.97986207529092,777.9730162410983,0,-5.0,98.00000000196712
64.0,10.958799057723866,50.9798188868513,784.6432090314865,0,-5.0,98.00000000216454
65.0,10.959287140763536,50.97977569841168,791.2508514735451,0,-5.0,98.00000000289475
66.0,10.959775223349226,50.97973250997207,797.7959637965644,0,-5.0,98.00000000199117
