Time,Longitude  ,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,10.9398,50.9815,315.7728,0,0.0,0.0
1.0,10.939799999999991,50.9815,316.4326488056778,0,5.0,270.0
2.0,10.939799999999991,50.9815,317.65234846398425,0,5.0,0.0
3.0,10.939799999999991,50.9815,319.4319027372045,0,5.0,0.0
4.0,10.939799999999991,50.9815,321.7713171029663,0,5.0,0.0
5.0,10.939799999999991,50.9815,324.6705987542525,0,5.0,0.0
6.0,10.939799999999991,50.9815,328.12975659941765,0,5.0,0.0
7.0,10.939799999999991,50.9815,332.148801262208,0,5.0,0.0
8.0,10.939799999999991,50.9815,336.7277450817859,0,5.0,0.0
9.0,10.939799999999991,50.9815,341.8666021127578,0,5.0,0.0
10.0,10.939799999999991,50.9815,347.5653881252063,0,5.0,0.0
11.0,10.939799999999991,50.9815,353.8241206047261,0,5.0,0.0
12.0,10.939799999999991,50.9815,360.6428187524636,0,5.0,0.0
13.0,10.939799999999991,50.9815,368.0215034851608,0,5.0,0.0
14.0,10.939799999999991,50.9815,375.9601974352028,0,5.0,0.0
15.0,10.939799999999991,50.9815,384.4589249506695,0,5.0,0.0
16.0,10.939799999999991,50.9815,393.5177120953906,0,5.0,0.0
17.0,10.939799999999991,50.9815,403.1365866490055,0,5.0,0.0
18.0,10.939851484446422,50.981495444619995,412.7092935495821,0,5.0,98.00000000508157
19.0,10.939912453904782,50.98149004999639,422.3358621461037,0,5.0,97.99999998767555
20.0,10.939982908371633,50.981483816128396,432.01632195175694,0,5.0,97.99999998296403
21.0,10.940062847843024,50.981476743015236,441.7507026440203,0,5.0,97.999999996383
22.0,10.940152272314492,50.981468830656155,451.5390340647527,0,5.0,97.99999999050027
23.0,10.940251181781008,50.98146007905036,461.38134622028264,0,5.0,98.00000000382715
24.0,10.940359576237057,50.98145048819709,471.27766928149805,0,5.0,98.00000000253453
25.0,10.940477455676614,50.98144005809559,481.2280335839362,0,5.0,97.99999999764822
26.0,10.940604820093142,50.981428788745085,491.23246962787454,0,5.0,97.99999999612055
27.0,10.940741669479564,50.9814166801448,501.2910080784216,0,5.0,98.00000000527075
28.0,10.940888003828348,50.98140373229396,511.40367976560896,0,5.0,97.99999999812957
29.0,10.941043823131366,50.9813899451918,521.570515684483,0,5.0,98.00000000218802
30.0,10.941209127380063,50.98137531883756,531.7915469951978,0,5.0,98.00000000092831
31.0,10.941383916565314,50.981359853230444,542.066805023108,0,5.0,98.0000000023557
32.0,10.941568190677486,50.98134354836973,552.3963212588628,0,5.0,97.99999998914996
33.0,10.94176194970646,50.9813264042546,562.7801273584994,0,5.0,97.99999999888917
34.0,10.94196519364155,50.9813084208843,573.218255143538,0,5.0,97.99999999958646
35.0,10.942177922471615,50.98128959825806,583.7107366010772,0,5.0,97.99999999964109
36.0,10.942400136184915,50.98126993637511,594.2576038838886,0,5.0,97.99999999699662
37.0,10.942631834769315,50.98124943523468,604.8588893105137,0,5.0,97.99999999641784
38.0,10.942873018212083,50.981228094836005,615.5146253653604,0,5.0,97.99999999830482
39.0,10.943123686499973,50.98120591517831,626.2248446987994,0,5.0,97.9999999986087
40.0,10.943383839619258,50.981182896260805,636.9895801272623,0,5.0,98.00000000325622
41.0,10.94365347755567,50.981159038082765,647.8088646333396,0,5.0,97.99999999667756
42.0,10.943932600294431,50.98113434064337,658.6827313658789,0,5.0,98.00000000347745
43.0,10.944221207820306,50.98110880394191,669.6112136400843,0,5.0,97.99999999688714
44.0,10.944519300117463,50.98108242797755,680.5943449376157,0,5.0,98.00000000052273
45.0,10.94482687716959,50.98105521274956,691.6321589066887,0,5.0,97.99999999964416
46.0,10.945143938959859,50.98102715825715,702.7246893621755,0,5.0,98.00000000444805
47.0,10.945470485470906,50.980998264499554,713.8719702857053,0,5.0,98.00000000298496
48.0,10.946395967780518,50.98091637270038,721.1692800802482,0,-5.0,98.00000000012903
49.0,10.947381312233517,50.98082918355179,724.6166410476621,0,-5.0,98.00000000026932
50.0,10.948426518485945,50.9807366970232,724.214063691765,0,-5.0,97.99999999918037
51.0,10.949242212630224,50.980664519879554,724.214063691765,0,0.0,97.99999999956242
52.0,10.950141739217656,50.98058492431785,724.214063691765,0,0.0,98.00000000009999
53.0,10.951041264263011,50.980505328756166,724.214063691765,0,0.0,97.99999999998141
54.0,10.951940787766262,50.980425733194494,724.214063691765,0,0.0,97.99999999958652
55.0,10.952840309727435,50.980346137632836,724.214063691765,0,0.0,97.99999999990683
56.0,10.95373983014656,50.98026654207119,724.214063691765,0,0.0,97.99999999880322
57.0,10.954639349023608,50.980186946509555,724.214063691765,0,0.0,97.99999999927473
58.0,10.955538866358609,50.980107350947925,724.214063691765,0,0.0,97.9999999992271
59.0,10.956438382151589,50.9800277553863,724.214063691765,0,0.0,97.99999999993645
60.0,10.957337896402493,50.97994815982468,724.214063691765,0,0.0,98.00000000123799
61.0,10.958237409111405,50.979868564263086,724.214063691765,0,0.0,97.99999999833437
62.0,10.959136920278269,50.97978896870149,724.214063691765,0,0.0,97.9999999998235
63.0,10.960036429903141,50.979709373139904,724.214063691765,0,0.0,97.99999999958158
64.0,10.960935937985965,50.97962977757834,724.214063691765,0,0.0,97.99999999928673
65.0,10.961835444526798,50.979550182016766,724.214063691765,0,0.0,98.0000000001287
66.0,10.96273494952564,50.97947058645522,724.214063691765,0,0.0,97.9999999994406
67.0,10.96363445298249,50.97939099089367,724.214063691765,0,0.0,97.99999999977479
68.0,10.964533954897377,50.97931139533214,724.214063691765,0,0.0,97.9999999992882
